,id,source,url
122,122,b'Yahoo News (Taiwan)',b'https://tw.news.yahoo.com/%E5%8D%B0%E5%BA%A6%E9%9D%92%E5%B0%91%E5%B9%B4%E9%85%92%E9%A7%95%E6%92%9E%E6%AD%BB%E4%BA%BA-%E6%B3%95%E9%99%A2%E5%88%A4%E5%AF%AB%E5%A0%B1%E5%91%8A%E6%82%94%E9%81%8E-132050228.html'
123,123,b'Yahoo News (Taiwan)',b'https://tw.news.yahoo.com/%E5%8F%8D%E5%B0%8D%E9%BB%A8%E6%8C%87%E6%8E%A7%E6%89%93%E6%93%8A%E7%95%B0%E5%B7%B1-%E8%8E%AB%E8%BF%AA-%E5%8D%B0%E5%BA%A6%E4%B8%8D%E6%98%AF%E7%8D%A8%E8%A3%81%E5%9C%8B%E5%AE%B6-085027276.html'
124,124,b'Yahoo News (Taiwan)',b'https://tw.news.yahoo.com/%E6%B0%91%E7%9C%BE%E6%B0%A3%E7%82%B8-%E5%8D%B0%E5%BA%A617%E6%AD%B2%E5%B0%91%E5%B9%B4%E9%85%92%E9%A7%95%E9%96%8B%E4%BF%9D%E6%99%82%E6%8D%B7%E6%92%9E%E6%AD%BB2%E4%BA%BA-%E7%AB%9F%E5%8F%AA%E8%A2%AB%E7%BD%B0-%E5%AF%AB%E4%BD%9C%E6%96%87-094509858.html'
125,125,b'Yahoo News (Taiwan)',b'https://tw.news.yahoo.com/%E5%8D%B0%E5%BA%A6%E5%A4%A7%E9%81%B8%E7%AC%AC6%E6%A2%AF%E6%AC%A1%E6%8A%95%E7%A5%A8-%E6%9C%9D%E9%87%8E%E6%94%BF%E9%BB%A8%E9%80%90%E9%B9%BF%E9%A6%96%E9%83%BD%E5%BE%B7%E9%87%8C-075927879.html'
126,126,b'Yahoo News (Taiwan)',b'https://tw.news.yahoo.com/%E5%8D%B0%E5%BA%A6%E5%8F%8D%E5%B0%8D%E6%B4%BE%E9%A0%98%E8%A2%96%E6%8B%89%E8%83%A1%E7%88%BE-%E7%94%98%E5%9C%B0%E5%AE%A3%E5%B8%83%E8%BF%94%E9%84%89%E5%8F%83%E9%81%B8-%E6%8C%91%E6%88%B0%E8%8E%AB%E8%BF%AA%E9%90%B5%E7%A5%A8%E5%80%89-102146510.html'
127,127,b'AP NEWS',b'https://apnews.com/article/new-delhi-india-heat-wave-deabaa7f53365d6a9fa75b580220ad59'
128,128,b'AP NEWS',b'https://apnews.com/article/india-national-election-voting-closing-phases-540927f81662ec429a3957235a5635cd'
129,129,b'AP NEWS',b'https://apnews.com/article/india-general-election-modi-bjp-eb3af801bcddc2e2ae05318df8dfe856'
130,130,b'CNN',b'https://www.cnn.com/2024/05/09/business/india-elections-ambani-adani-modi-speech-intl-hnk/index.html'
131,131,b'CNN',b'https://www.cnn.com/2024/05/27/style/payal-kapadia-india-cannes-grand-prix-intl-hnk/index.html'
132,132,b'CNN',b'https://www.cnn.com/2024/05/08/india/india-bjp-muslim-video-police-investigation-intl-hnk/index.html'
133,133,b'CNN',b'https://www.cnn.com/2024/05/10/investing/premarket-stocks-trading-fed-rate-pause/index.html'
134,134,b'CNN',b'https://www.cnn.com/2024/05/22/india/indian-teen-allegedly-kills-two-while-drunk-driving-as-punishment-he-was-told-to-write-an-essay/index.html'
135,135,b'CNN Espa\xc3\xb1ol',b'https://cnnespanol.cnn.com/2024/05/22/adolescente-indio-mato-dos-personas-conducir-ebrio-castigo-escribir-ensayo-trax/'
136,136,b'ETCFO.com',b'https://cfo.economictimes.indiatimes.com/news/strategy-operations/adani-group-m-cap-regains-200-bn-mark-as-company-rebuts-coal-invoicing-allegations/110349573'
137,137,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/rae-bareli-lok-sabha-elections-who-is-dinesh-pratap-singh-bjps-contender-against-rahul-gandhi/articleshow/109803377.cms'
138,138,b'Economic Times',b'https://economictimes.indiatimes.com/news/newsblogs/india-general-elections-2024-live-updates-lok-sabha-polls-phase-5-date-schedule-pm-modi-arvind-kejriwal-ec-election-commission-mamata-banerjee-rahul-gandhi-modi-wealth-bjp-aap-ind-bloc-congress-may-15-latest-election-news/liveblog/110132335.cms'
139,139,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/madhya-pradesh/madhya-pradesh-curtains-come-down-on-electioneering-for-third-phase-of-lok-sabha-polls-in-9-seats/articleshow/109860625.cms'
140,140,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/telangana/lok-sabha-poll-contest-between-vote-for-development-and-vote-for-jihad-amit-shah/articleshow/109983179.cms'
141,141,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/have-an-emotional-connect-with-rae-bareli-rahul-gandhi/articleshow/110124316.cms'
